Price,Close,High,Low,Open,Volume
Ticker,EQIX,EQIX,EQIX,EQIX,EQIX
Date,,,,,
2023-09-05,749.0487060546875,751.6801735477044,742.7819504220306,749.5457682960612,426700
2023-09-06,748.4153442382812,751.1052867199274,742.538456412668,746.7000746350467,389000
2023-09-07,755.861328125,758.531759032359,746.9923709455076,746.9923709455076,363200
2023-09-08,751.855712890625,759.1750685479412,749.4971652779261,755.325333980839,251400
2023-09-11,754.9548950195312,757.381672443096,751.0857090518299,755.637136177264,283300
2023-09-12,753.4735717773438,757.7034199724898,749.1073229196544,749.6920671467809,315300
2023-09-13,749.409423828125,754.3507205701409,745.5792005635113,753.6684793391564,229200
2023-09-14,762.3132934570312,766.474911421303,752.4599669441968,757.2745591851096,260700
2023-09-15,756.5142822265625,762.1865385837989,751.7192016046708,758.3465599289965,601100
2023-09-18,749.9356079101562,757.3524597439366,747.2846884975612,752.6548168722904,260500
2023-09-19,737.04150390625,751.2805890043901,735.2482488643963,747.8304795645813,322000
2023-09-20,738.4742431640625,748.30805775887,737.0317750723735,742.6845796340885,355400
2023-09-21,714.8886108398438,732.9092012300392,714.440267307227,732.9092012300392,306800
2023-09-22,713.3291625976562,724.4202662186898,712.1011998620756,716.3407437348086,419200
2023-09-25,714.7326049804688,719.069645851555,709.1968088441322,712.8808754919825,376100
2023-09-26,692.9793701171875,712.0135382208862,690.7474674384156,711.263066893717,385200
2023-09-27,689.1490478515625,700.1329588929871,682.4827261217399,696.8485167964509,430000
2023-09-28,702.6669921875,705.2010227107679,689.4707482087392,692.2776395505764,472000
2023-09-29,707.8226928710938,716.7598805308457,703.6318674118836,714.372065953932,494500
2023-10-02,694.5874633789062,712.1694675128771,687.1024396848761,704.5577393193414,368100
2023-10-03,683.3792724609375,698.4468138600959,680.4554328779521,691.3223937889817,341700
2023-10-04,697.7548828125,699.9282514051907,684.0031036215363,690.1431554271237,371000
2023-10-05,702.6864013671875,703.4953470250127,692.1508344576289,701.6338023955559,234800
2023-10-06,705.2886352539062,710.4346220364996,690.3185892265576,695.8543856381602,284000
2023-10-09,712.8223876953125,713.7970009295907,701.5168384862825,702.4037698414514,180400
2023-10-10,720.0344848632812,726.7788512266403,708.787469633813,712.5202549507806,267400
2023-10-11,735.3067626953125,736.5932593737814,725.3656952603615,726.9445640281018,445300
2023-10-12,724.4592895507812,738.1233269743956,720.6095552854732,735.3067398685646,270900
2023-10-13,723.786865234375,730.2095338342398,720.502423036793,727.120026201831,263800
2023-10-16,732.3341674804688,734.5368030979872,723.4652100763882,729.4883132464378,292000
2023-10-17,724.0596923828125,730.9014967483479,717.0230129468391,720.8434804068144,311200
2023-10-18,714.3232421875,720.9116369063071,709.917971508747,717.3153118357473,277300
2023-10-19,685.9425659179688,718.2119971399462,685.7378757156092,709.8205911283043,409600
2023-10-20,687.7066040039062,700.7664454867626,686.9366809430779,688.3303707670867,434000
2023-10-23,681.6932983398438,692.6771500022571,679.6563303280373,683.0869882486897,376800
2023-10-24,686.27392578125,693.6127324287085,682.346205933649,683.1161289661125,450700
2023-10-25,664.9202270507812,682.6386912727469,660.5929412368381,679.2665670274956,610400
2023-10-26,701.2440795898438,709.0604978997377,668.3703894571703,678.8279719448366,671000
2023-10-27,692.3555908203125,708.4171997659214,689.6558928099294,708.4171997659214,338500
2023-10-30,697.1701049804688,707.033186201294,689.8897131518523,698.7879367836772,608100
2023-10-31,711.1168823242188,711.6333964550752,693.4958567127147,703.1152854931819,372700
2023-11-01,720.3659057617188,722.12995338813,710.8829377491751,711.2825030132657,345800
2023-11-02,743.815185546875,750.179379965916,726.086965840418,726.086965840418,476500
2023-11-03,751.1929321289062,763.7166888312298,747.3334421719233,754.9354137668839,387200
2023-11-06,742.3823852539062,751.2709129286852,735.5893593720202,748.4152437241087,407300
2023-11-07,738.7568969726562,744.7800001553395,736.1059772939001,744.7800001553395,343200
2023-11-08,740.6476440429688,745.5694293803532,734.1957086646901,744.1757394799486,313600
2023-11-09,737.7919921875,745.7935289673571,735.3944221572266,742.7040215945173,333100
2023-11-10,747.7915649414062,748.5419767313595,735.0923251026136,743.883356094801,274600
2023-11-13,743.1815795898438,746.1736494593706,736.7394001681849,741.2031455893548,275200
